step,epoch,loss,lr,elapsed_min
50,1,4.02316,0.00019937,2.28
100,1,1.96349,0.00019491,4.52
150,1,1.94924,0.00018636,6.75
200,1,1.93274,0.00017408,9.02
250,1,1.93755,0.00015861,11.25
300,1,1.93304,0.00014061,13.53
350,1,1.92385,0.00012086,15.77
400,2,1.94427,0.00010021,18.05
450,2,1.91496,7.955e-05,20.28
500,2,1.92076,5.977e-05,22.54
550,2,1.91633,4.173e-05,24.79
600,2,1.91709,2.62e-05,27.02
650,2,1.91278,1.385e-05,29.28
700,2,1.91564,5.22e-06,31.53
750,2,1.91101,6.8e-07,33.79
