step,epoch,loss,lr,elapsed_min
50,1,4.39878,0.00019937,2.14
100,1,1.96081,0.00019491,4.24
150,1,1.93815,0.00018636,6.35
200,1,1.9251,0.00017408,8.47
250,1,1.92095,0.00015861,10.58
300,1,1.91984,0.00014061,12.68
350,1,1.92159,0.00012086,14.79
400,2,1.9477,0.00010021,16.94
450,2,1.91843,7.955e-05,19.05
500,2,1.91957,5.977e-05,21.15
550,2,1.91897,4.173e-05,23.28
600,2,1.90268,2.62e-05,25.4
650,2,1.91221,1.385e-05,27.51
700,2,1.9096,5.22e-06,29.62
750,2,1.90186,6.8e-07,31.72
