step,epoch,loss,lr,elapsed_min
50,1,3.65323,0.00019937,5.79
100,1,1.97458,0.00019491,11.54
150,1,1.95352,0.00018636,17.31
200,1,1.94125,0.00017408,23.03
250,1,1.94741,0.00015861,28.79
300,1,1.92967,0.00014061,34.54
350,1,1.9298,0.00012086,40.28
400,2,1.96111,0.00010021,46.08
450,2,1.92908,7.955e-05,51.83
500,2,1.92059,5.977e-05,57.55
550,2,1.92039,4.173e-05,63.31
600,2,1.9242,2.62e-05,69.04
650,2,1.92197,1.385e-05,74.81
700,2,1.91793,5.22e-06,80.57
750,2,1.92389,6.8e-07,86.32
